ID,claim_ID,riskScore,riskLevel
f0000001-0001-0001-0001-000000000001,d0000001-0001-0001-0001-000000000001,15,Low
f0000002-0002-0002-0002-000000000002,d0000002-0002-0002-0002-000000000002,32,Low
f0000003-0003-0003-0003-000000000003,d0000003-0003-0003-0003-000000000003,48,Medium
f0000004-0004-0004-0004-000000000004,d0000004-0004-0004-0004-000000000004,58,Medium
f0000005-0005-0005-0005-000000000005,d0000005-0005-0005-0005-000000000005,67,High
f0000006-0006-0006-0006-000000000006,d0000006-0006-0006-0006-000000000006,74,High
f0000007-0007-0007-0007-000000000007,d0000007-0007-0007-0007-000000000007,82,Critical
f0000008-0008-0008-0008-000000000008,d0000008-0008-0008-0008-000000000008,91,Critical
f0000009-0009-0009-0009-000000000009,d0000009-0009-0009-0009-000000000009,25,Low
f0000010-0010-0010-0010-000000000010,d0000010-0010-0010-0010-000000000010,43,Medium
f0000011-0011-0011-0011-000000000011,d0000011-0011-0011-0011-000000000011,15,Low
f0000012-0012-0012-0012-000000000012,d0000012-0012-0012-0012-000000000012,32,Low
f0000013-0013-0013-0013-000000000013,d0000013-0013-0013-0013-000000000013,48,Medium
f0000014-0014-0014-0014-000000000014,d0000014-0014-0014-0014-000000000014,58,Medium
f0000015-0015-0015-0015-000000000015,d0000015-0015-0015-0015-000000000015,67,High
f0000016-0016-0016-0016-000000000016,d0000016-0016-0016-0016-000000000016,74,High
f0000017-0017-0017-0017-000000000017,d0000017-0017-0017-0017-000000000017,82,Critical
f0000018-0018-0018-0018-000000000018,d0000018-0018-0018-0018-000000000018,91,Critical
f0000019-0019-0019-0019-000000000019,d0000019-0019-0019-0019-000000000019,25,Low
f0000020-0020-0020-0020-000000000020,d0000020-0020-0020-0020-000000000020,43,Medium
f0000021-0021-0021-0021-000000000021,d0000021-0021-0021-0021-000000000021,15,Low
f0000022-0022-0022-0022-000000000022,d0000022-0022-0022-0022-000000000022,32,Low
f0000023-0023-0023-0023-000000000023,d0000023-0023-0023-0023-000000000023,48,Medium
f0000024-0024-0024-0024-000000000024,d0000024-0024-0024-0024-000000000024,58,Medium
f0000025-0025-0025-0025-000000000025,d0000025-0025-0025-0025-000000000025,67,High
f0000026-0026-0026-0026-000000000026,d0000026-0026-0026-0026-000000000026,74,High
f0000027-0027-0027-0027-000000000027,d0000027-0027-0027-0027-000000000027,82,Critical
f0000028-0028-0028-0028-000000000028,d0000028-0028-0028-0028-000000000028,91,Critical
f0000029-0029-0029-0029-000000000029,d0000029-0029-0029-0029-000000000029,25,Low
f0000030-0030-0030-0030-000000000030,d0000030-0030-0030-0030-000000000030,43,Medium
