ID,investigationNumber,claim_ID,investigator_ID,status,findings
i0000001-0001-0001-0001-000000000001,INV001,d0000001-0001-0001-0001-000000000001,e0000002-0002-0002-0002-000000000002,Assigned,Investigation assigned for review
i0000002-0002-0002-0002-000000000002,INV002,d0000002-0002-0002-0002-000000000002,e0000003-0003-0003-0003-000000000003,InProgress,Documents and incident details under verification
i0000003-0003-0003-0003-000000000003,INV003,d0000003-0003-0003-0003-000000000003,e0000004-0004-0004-0004-000000000004,Completed,Investigation completed; findings recorded
i0000004-0004-0004-0004-000000000004,INV004,d0000004-0004-0004-0004-000000000004,e0000005-0005-0005-0005-000000000005,Assigned,Investigation assigned for review
i0000005-0005-0005-0005-000000000005,INV005,d0000005-0005-0005-0005-000000000005,e0000006-0006-0006-0006-000000000006,InProgress,Documents and incident details under verification
i0000006-0006-0006-0006-000000000006,INV006,d0000006-0006-0006-0006-000000000006,e0000007-0007-0007-0007-000000000007,Completed,Investigation completed; findings recorded
i0000007-0007-0007-0007-000000000007,INV007,d0000007-0007-0007-0007-000000000007,e0000008-0008-0008-0008-000000000008,Assigned,Investigation assigned for review
i0000008-0008-0008-0008-000000000008,INV008,d0000008-0008-0008-0008-000000000008,e0000009-0009-0009-0009-000000000009,InProgress,Documents and incident details under verification
i0000009-0009-0009-0009-000000000009,INV009,d0000009-0009-0009-0009-000000000009,e0000010-0010-0010-0010-000000000010,Completed,Investigation completed; findings recorded
i0000010-0010-0010-0010-000000000010,INV010,d0000010-0010-0010-0010-000000000010,e0000011-0011-0011-0011-000000000011,Assigned,Investigation assigned for review
i0000011-0011-0011-0011-000000000011,INV011,d0000011-0011-0011-0011-000000000011,e0000012-0012-0012-0012-000000000012,InProgress,Documents and incident details under verification
i0000012-0012-0012-0012-000000000012,INV012,d0000012-0012-0012-0012-000000000012,e0000013-0013-0013-0013-000000000013,Completed,Investigation completed; findings recorded
i0000013-0013-0013-0013-000000000013,INV013,d0000013-0013-0013-0013-000000000013,e0000014-0014-0014-0014-000000000014,Assigned,Investigation assigned for review
i0000014-0014-0014-0014-000000000014,INV014,d0000014-0014-0014-0014-000000000014,e0000015-0015-0015-0015-000000000015,InProgress,Documents and incident details under verification
i0000015-0015-0015-0015-000000000015,INV015,d0000015-0015-0015-0015-000000000015,e0000016-0016-0016-0016-000000000016,Completed,Investigation completed; findings recorded
i0000016-0016-0016-0016-000000000016,INV016,d0000016-0016-0016-0016-000000000016,e0000017-0017-0017-0017-000000000017,Assigned,Investigation assigned for review
i0000017-0017-0017-0017-000000000017,INV017,d0000017-0017-0017-0017-000000000017,e0000018-0018-0018-0018-000000000018,InProgress,Documents and incident details under verification
i0000018-0018-0018-0018-000000000018,INV018,d0000018-0018-0018-0018-000000000018,e0000019-0019-0019-0019-000000000019,Completed,Investigation completed; findings recorded
i0000019-0019-0019-0019-000000000019,INV019,d0000019-0019-0019-0019-000000000019,e0000020-0020-0020-0020-000000000020,Assigned,Investigation assigned for review
i0000020-0020-0020-0020-000000000020,INV020,d0000020-0020-0020-0020-000000000020,e0000021-0021-0021-0021-000000000021,InProgress,Documents and incident details under verification
i0000021-0021-0021-0021-000000000021,INV021,d0000021-0021-0021-0021-000000000021,e0000022-0022-0022-0022-000000000022,Completed,Investigation completed; findings recorded
i0000022-0022-0022-0022-000000000022,INV022,d0000022-0022-0022-0022-000000000022,e0000023-0023-0023-0023-000000000023,Assigned,Investigation assigned for review
i0000023-0023-0023-0023-000000000023,INV023,d0000023-0023-0023-0023-000000000023,e0000024-0024-0024-0024-000000000024,InProgress,Documents and incident details under verification
i0000024-0024-0024-0024-000000000024,INV024,d0000024-0024-0024-0024-000000000024,e0000025-0025-0025-0025-000000000025,Completed,Investigation completed; findings recorded
i0000025-0025-0025-0025-000000000025,INV025,d0000025-0025-0025-0025-000000000025,e0000026-0026-0026-0026-000000000026,Assigned,Investigation assigned for review
i0000026-0026-0026-0026-000000000026,INV026,d0000026-0026-0026-0026-000000000026,e0000027-0027-0027-0027-000000000027,InProgress,Documents and incident details under verification
i0000027-0027-0027-0027-000000000027,INV027,d0000027-0027-0027-0027-000000000027,e0000028-0028-0028-0028-000000000028,Completed,Investigation completed; findings recorded
i0000028-0028-0028-0028-000000000028,INV028,d0000028-0028-0028-0028-000000000028,e0000029-0029-0029-0029-000000000029,Assigned,Investigation assigned for review
i0000029-0029-0029-0029-000000000029,INV029,d0000029-0029-0029-0029-000000000029,e0000030-0030-0030-0030-000000000030,InProgress,Documents and incident details under verification
i0000030-0030-0030-0030-000000000030,INV030,d0000030-0030-0030-0030-000000000030,e0000001-0001-0001-0001-000000000001,Completed,Investigation completed; findings recorded
