ID,payoutNumber,claim_ID,amount,paymentMethod,payoutDate,status,processedBy_ID
p0000001-0001-0001-0001-000000000001,PAY001,d0000001-0001-0001-0001-000000000001,100000,BankTransfer,2026-05-16,Pending,e0000004-0004-0004-0004-000000000004
p0000002-0002-0002-0002-000000000002,PAY002,d0000002-0002-0002-0002-000000000002,220000,NEFT,2026-05-16,Processing,e0000005-0005-0005-0005-000000000005
p0000003-0003-0003-0003-000000000003,PAY003,d0000003-0003-0003-0003-000000000003,75000,RTGS,2026-05-17,Processed,e0000006-0006-0006-0006-000000000006
p0000004-0004-0004-0004-000000000004,PAY004,d0000004-0004-0004-0004-000000000004,400000,UPI,2026-05-17,Failed,e0000007-0007-0007-0007-000000000007
p0000005-0005-0005-0005-000000000005,PAY005,d0000005-0005-0005-0005-000000000005,150000,BankTransfer,2026-05-18,Pending,e0000008-0008-0008-0008-000000000008
p0000006-0006-0006-0006-000000000006,PAY006,d0000006-0006-0006-0006-000000000006,50000,NEFT,2026-05-18,Processing,e0000009-0009-0009-0009-000000000009
p0000007-0007-0007-0007-000000000007,PAY007,d0000007-0007-0007-0007-000000000007,100000,RTGS,2026-05-19,Processed,e0000010-0010-0010-0010-000000000010
p0000008-0008-0008-0008-000000000008,PAY008,d0000008-0008-0008-0008-000000000008,220000,UPI,2026-05-19,Failed,e0000011-0011-0011-0011-000000000011
p0000009-0009-0009-0009-000000000009,PAY009,d0000009-0009-0009-0009-000000000009,75000,BankTransfer,2026-05-20,Pending,e0000012-0012-0012-0012-000000000012
p0000010-0010-0010-0010-000000000010,PAY010,d0000010-0010-0010-0010-000000000010,400000,NEFT,2026-05-20,Processing,e0000013-0013-0013-0013-000000000013
p0000011-0011-0011-0011-000000000011,PAY011,d0000011-0011-0011-0011-000000000011,120000,RTGS,2026-05-21,Processed,e0000014-0014-0014-0014-000000000014
p0000012-0012-0012-0012-000000000012,PAY012,d0000012-0012-0012-0012-000000000012,50000,UPI,2026-05-21,Failed,e0000015-0015-0015-0015-000000000015
p0000013-0013-0013-0013-000000000013,PAY013,d0000013-0013-0013-0013-000000000013,100000,BankTransfer,2026-05-22,Pending,e0000016-0016-0016-0016-000000000016
p0000014-0014-0014-0014-000000000014,PAY014,d0000014-0014-0014-0014-000000000014,220000,NEFT,2026-05-22,Processing,e0000017-0017-0017-0017-000000000017
p0000015-0015-0015-0015-000000000015,PAY015,d0000015-0015-0015-0015-000000000015,75000,RTGS,2026-05-23,Processed,e0000018-0018-0018-0018-000000000018
p0000016-0016-0016-0016-000000000016,PAY016,d0000016-0016-0016-0016-000000000016,400000,UPI,2026-05-23,Failed,e0000019-0019-0019-0019-000000000019
p0000017-0017-0017-0017-000000000017,PAY017,d0000017-0017-0017-0017-000000000017,150000,BankTransfer,2026-05-24,Pending,e0000020-0020-0020-0020-000000000020
p0000018-0018-0018-0018-000000000018,PAY018,d0000018-0018-0018-0018-000000000018,50000,NEFT,2026-05-24,Processing,e0000021-0021-0021-0021-000000000021
p0000019-0019-0019-0019-000000000019,PAY019,d0000019-0019-0019-0019-000000000019,90000,RTGS,2026-05-25,Processed,e0000022-0022-0022-0022-000000000022
p0000020-0020-0020-0020-000000000020,PAY020,d0000020-0020-0020-0020-000000000020,220000,UPI,2026-05-25,Failed,e0000023-0023-0023-0023-000000000023
p0000021-0021-0021-0021-000000000021,PAY021,d0000021-0021-0021-0021-000000000021,75000,BankTransfer,2026-05-26,Pending,e0000024-0024-0024-0024-000000000024
p0000022-0022-0022-0022-000000000022,PAY022,d0000022-0022-0022-0022-000000000022,400000,NEFT,2026-05-26,Processing,e0000025-0025-0025-0025-000000000025
p0000023-0023-0023-0023-000000000023,PAY023,d0000023-0023-0023-0023-000000000023,85000,RTGS,2026-05-27,Processed,e0000026-0026-0026-0026-000000000026
p0000024-0024-0024-0024-000000000024,PAY024,d0000024-0024-0024-0024-000000000024,50000,UPI,2026-05-27,Failed,e0000027-0027-0027-0027-000000000027
p0000025-0025-0025-0025-000000000025,PAY025,d0000025-0025-0025-0025-000000000025,100000,BankTransfer,2026-05-28,Pending,e0000028-0028-0028-0028-000000000028
p0000026-0026-0026-0026-000000000026,PAY026,d0000026-0026-0026-0026-000000000026,220000,NEFT,2026-05-28,Processing,e0000029-0029-0029-0029-000000000029
p0000027-0027-0027-0027-000000000027,PAY027,d0000027-0027-0027-0027-000000000027,75000,RTGS,2026-05-29,Processed,e0000030-0030-0030-0030-000000000030
p0000028-0028-0028-0028-000000000028,PAY028,d0000028-0028-0028-0028-000000000028,400000,UPI,2026-05-29,Failed,e0000001-0001-0001-0001-000000000001
p0000029-0029-0029-0029-000000000029,PAY029,d0000029-0029-0029-0029-000000000029,150000,BankTransfer,2026-05-30,Pending,e0000002-0002-0002-0002-000000000002
p0000030-0030-0030-0030-000000000030,PAY030,d0000030-0030-0030-0030-000000000030,50000,NEFT,2026-05-30,Processing,e0000003-0003-0003-0003-000000000003
