ID,policyNumber,customer_ID,claimType_ID,coverageLimit,startDate,endDate,status
c0000001-0001-0001-0001-000000000001,POL001,10000001-0001-0001-0001-000000000001,a0000001-0001-0001-0001-000000000001,500000,2026-01-01,2026-12-31,Expired
c0000002-0002-0002-0002-000000000002,POL002,10000002-0002-0002-0002-000000000002,a0000002-0002-0002-0002-000000000002,300000,2026-01-06,2027-01-05,Active
c0000003-0003-0003-0003-000000000003,POL003,10000003-0003-0003-0003-000000000003,a0000003-0003-0003-0003-000000000003,750000,2026-01-11,2027-01-10,Active
c0000004-0004-0004-0004-000000000004,POL004,10000004-0004-0004-0004-000000000004,a0000004-0004-0004-0004-000000000004,1000000,2026-01-16,2027-01-15,Active
c0000005-0005-0005-0005-000000000005,POL005,10000005-0005-0005-0005-000000000005,a0000005-0005-0005-0005-000000000005,250000,2026-01-21,2027-01-20,Active
c0000006-0006-0006-0006-000000000006,POL006,10000006-0006-0006-0006-000000000006,a0000006-0006-0006-0006-000000000006,500000,2026-01-26,2027-01-25,Active
c0000007-0007-0007-0007-000000000007,POL007,10000007-0007-0007-0007-000000000007,a0000007-0007-0007-0007-000000000007,300000,2026-01-31,2027-01-30,Active
c0000008-0008-0008-0008-000000000008,POL008,10000008-0008-0008-0008-000000000008,a0000008-0008-0008-0008-000000000008,750000,2026-02-05,2027-02-04,Active
c0000009-0009-0009-0009-000000000009,POL009,10000009-0009-0009-0009-000000000009,a0000009-0009-0009-0009-000000000009,1000000,2026-02-10,2027-02-09,Active
c0000010-0010-0010-0010-000000000010,POL010,10000010-0010-0010-0010-000000000010,a0000010-0010-0010-0010-000000000010,250000,2026-02-15,2027-02-14,Expired
c0000011-0011-0011-0011-000000000011,POL011,10000011-0011-0011-0011-000000000011,a0000011-0011-0011-0011-000000000011,500000,2026-02-20,2027-02-19,Active
c0000012-0012-0012-0012-000000000012,POL012,10000012-0012-0012-0012-000000000012,a0000012-0012-0012-0012-000000000012,300000,2026-02-25,2027-02-24,Active
c0000013-0013-0013-0013-000000000013,POL013,10000013-0013-0013-0013-000000000013,a0000013-0013-0013-0013-000000000013,750000,2026-03-02,2027-03-01,Active
c0000014-0014-0014-0014-000000000014,POL014,10000014-0014-0014-0014-000000000014,a0000014-0014-0014-0014-000000000014,1000000,2026-03-07,2027-03-06,Active
c0000015-0015-0015-0015-000000000015,POL015,10000015-0015-0015-0015-000000000015,a0000015-0015-0015-0015-000000000015,250000,2026-03-12,2027-03-11,Active
c0000016-0016-0016-0016-000000000016,POL016,10000016-0016-0016-0016-000000000016,a0000016-0016-0016-0016-000000000016,500000,2026-03-17,2027-03-16,Active
c0000017-0017-0017-0017-000000000017,POL017,10000017-0017-0017-0017-000000000017,a0000017-0017-0017-0017-000000000017,300000,2026-03-22,2027-03-21,Active
c0000018-0018-0018-0018-000000000018,POL018,10000018-0018-0018-0018-000000000018,a0000018-0018-0018-0018-000000000018,750000,2026-03-27,2027-03-26,Active
c0000019-0019-0019-0019-000000000019,POL019,10000019-0019-0019-0019-000000000019,a0000019-0019-0019-0019-000000000019,1000000,2026-04-01,2027-03-31,Expired
c0000020-0020-0020-0020-000000000020,POL020,10000020-0020-0020-0020-000000000020,a0000020-0020-0020-0020-000000000020,250000,2026-04-06,2027-04-05,Active
c0000021-0021-0021-0021-000000000021,POL021,10000021-0021-0021-0021-000000000021,a0000021-0021-0021-0021-000000000021,500000,2026-04-11,2027-04-10,Active
c0000022-0022-0022-0022-000000000022,POL022,10000022-0022-0022-0022-000000000022,a0000022-0022-0022-0022-000000000022,300000,2026-04-16,2027-04-15,Active
c0000023-0023-0023-0023-000000000023,POL023,10000023-0023-0023-0023-000000000023,a0000023-0023-0023-0023-000000000023,750000,2026-04-21,2027-04-20,Active
c0000024-0024-0024-0024-000000000024,POL024,10000024-0024-0024-0024-000000000024,a0000024-0024-0024-0024-000000000024,1000000,2026-04-26,2027-04-25,Active
c0000025-0025-0025-0025-000000000025,POL025,10000025-0025-0025-0025-000000000025,a0000025-0025-0025-0025-000000000025,250000,2026-05-01,2027-04-30,Active
c0000026-0026-0026-0026-000000000026,POL026,10000026-0026-0026-0026-000000000026,a0000026-0026-0026-0026-000000000026,500000,2026-05-06,2027-05-05,Active
c0000027-0027-0027-0027-000000000027,POL027,10000027-0027-0027-0027-000000000027,a0000027-0027-0027-0027-000000000027,300000,2026-05-11,2027-05-10,Active
c0000028-0028-0028-0028-000000000028,POL028,10000028-0028-0028-0028-000000000028,a0000028-0028-0028-0028-000000000028,750000,2026-05-16,2027-05-15,Expired
c0000029-0029-0029-0029-000000000029,POL029,10000029-0029-0029-0029-000000000029,a0000029-0029-0029-0029-000000000029,1000000,2026-05-21,2027-05-20,Active
c0000030-0030-0030-0030-000000000030,POL030,10000030-0030-0030-0030-000000000030,a0000030-0030-0030-0030-000000000030,250000,2026-05-26,2027-05-25,Active
