ID,ruleName,claimType_ID,resolutionHours
13000001-0001-0001-0001-000000000001,Vehicle Standard SLA,a1000001-0001-0001-0001-000000000001,72
13000002-0002-0002-0002-000000000002,Vehicle Theft SLA,a1000002-0002-0002-0002-000000000002,48
13000003-0003-0003-0003-000000000003,Vehicle Damage SLA,a1000003-0003-0003-0003-000000000003,72
13000004-0004-0004-0004-000000000004,Medical Expense SLA,a1000004-0004-0004-0004-000000000004,48
13000005-0005-0005-0005-000000000005,Hospitalization SLA,a1000005-0005-0005-0005-000000000005,72
13000006-0006-0006-0006-000000000006,Emergency SLA,a1000006-0006-0006-0006-000000000006,24
13000007-0007-0007-0007-000000000007,Property Damage SLA,a1000007-0007-0007-0007-000000000007,96
13000008-0008-0008-0008-000000000008,Fire Damage SLA,a1000008-0008-0008-0008-000000000008,48
13000009-0009-0009-0009-000000000009,Property Theft SLA,a1000009-0009-0009-0009-000000000009,48
973c27cc-b867-437a-91dd-7f4ed3c35609,SLA Rule 010,a0010-0010-0010-0010-000000000010,24
41ed7b74-492a-48d2-8349-04549a48ebd1,SLA Rule 011,a0011-0011-0011-0011-000000000011,48
5f40e834-95bf-46df-a349-7cebeb2d741e,SLA Rule 012,a0012-0012-0012-0012-000000000012,72
ac6881b9-268c-47ed-bdb9-518132ed1619,SLA Rule 013,a0013-0013-0013-0013-000000000013,96
0adcbfe0-c086-4153-be72-46f65f95e389,SLA Rule 014,a0014-0014-0014-0014-000000000014,120
5fc9dabb-0b13-4538-9c6a-96a391600148,SLA Rule 015,a0015-0015-0015-0015-000000000015,24
450e2352-e404-4805-8265-49a143ad6e41,SLA Rule 016,a0016-0016-0016-0016-000000000016,48
26b43e54-923c-4d83-9faf-74b40d72713c,SLA Rule 017,a0017-0017-0017-0017-000000000017,72
bc7feeec-dc05-426a-90c6-9b9e941ef5fe,SLA Rule 018,a0018-0018-0018-0018-000000000018,96
6b6b5e68-f447-45da-a4f1-3b96153199ae,SLA Rule 019,a0019-0019-0019-0019-000000000019,120
168d1efc-4928-46c9-a65d-115a9773ad3d,SLA Rule 020,a0020-0020-0020-0020-000000000020,24
f05895a9-b288-4f45-b7a4-f98c5211e7f9,SLA Rule 021,a0021-0021-0021-0021-000000000021,48
d2333c10-3367-42f7-b819-8442fdfba608,SLA Rule 022,a0022-0022-0022-0022-000000000022,72
8589b6b7-67bd-4e88-bf25-f6ea7b1922ae,SLA Rule 023,a0023-0023-0023-0023-000000000023,96
22bd156d-676a-49c6-a672-7b7e3f33a0cd,SLA Rule 024,a0024-0024-0024-0024-000000000024,120
c50e12e8-3e16-4f1e-ad4c-318f92141048,SLA Rule 025,a0025-0025-0025-0025-000000000025,24
940e70ba-ffd7-4fd3-9398-d407919669db,SLA Rule 026,a0026-0026-0026-0026-000000000026,48
d3566943-642a-4d1a-9a25-ad5399904747,SLA Rule 027,a0027-0027-0027-0027-000000000027,72
97d5f097-594e-4995-aed4-8b0d501a147d,SLA Rule 028,a0028-0028-0028-0028-000000000028,96
0ea28a06-3587-4e80-a092-46e559e32397,SLA Rule 029,a0029-0029-0029-0029-000000000029,120
3e8d043c-7ee7-4611-ab2f-a08cd460df3a,SLA Rule 030,a0030-0030-0030-0030-000000000030,24
111781ec-daa1-448d-a07c-5414f2beaca9,SLA Rule 031,a0031-0031-0031-0031-000000000031,48
1924d47d-1e6f-42cc-b848-f4b59c324269,SLA Rule 032,a0032-0032-0032-0032-000000000032,72
ffd77dd1-4378-4ee2-8bab-6d031462cd68,SLA Rule 033,a0033-0033-0033-0033-000000000033,96
34460b03-f5d4-46f0-b2d8-7f9b95dca822,SLA Rule 034,a0034-0034-0034-0034-000000000034,120
